dateWeek,weekFrom,weekTo
202201,2-Jan,8-Jan
202202,9-Jan,15-Jan
202203,16-Jan,22-Jan
202204,23-Jan,29-Jan
202205,30-Jan,5-Feb
202206,6-Feb,12-Feb
202207,13-Feb,19-Feb
202208,20-Feb,26-Feb
202209,27-Feb,5-Mar
202210,6-Mar,12-Mar
202211,13-Mar,19-Mar
202212,20-Mar,26-Mar
202213,27-Mar,2-Apr
202214,3-Apr,9-Apr
202215,10-Apr,16-Apr
202216,17-Apr,23-Apr
202217,24-Apr,30-Apr
202218,1-May,7-May
202219,8-May,14-May
202220,15-May,21-May
202221,22-May,28-May
202222,29-May,4-Jun
202223,5-Jun,11-Jun
202224,12-Jun,18-Jun
202225,19-Jun,25-Jun
202226,26-Jun,2-Jul
202227,3-Jul,9-Jul
202228,10-Jul,16-Jul
202229,17-Jul,23-Jul
202230,24-Jul,30-Jul
202231,31-Jul,6-Aug
202232,7-Aug,13-Aug
202233,14-Aug,20-Aug
202234,21-Aug,27-Aug
202235,28-Aug,3-Sep
202236,4-Sep,10-Sep
202237,11-Sep,17-Sep
202238,18-Sep,24-Sep
202239,25-Sep,1-Oct
202240,2-Oct,8-Oct
202241,9-Oct,15-Oct
202242,16-Oct,22-Oct
202243,23-Oct,29-Oct
202244,30-Oct,5-Nov
202245,6-Nov,12-Nov
202246,13-Nov,19-Nov
202247,20-Nov,26-Nov
202248,27-Nov,3-Dec
202249,4-Dec,10-Dec
202250,11-Dec,17-Dec
202251,18-Dec,24-Dec
202252,25-Dec,31-Dec
202301,1-Jan,7-Jan
202302,8-Jan,14-Jan
202303,15-Jan,21-Jan
202304,22-Jan,28-Jan
202305,29-Jan,4-Feb
202306,5-Feb,11-Feb
202307,12-Feb,18-Feb
202308,19-Feb,25-Feb
202309,26-Feb,4-Mar
202310,5-Mar,11-Mar
202311,12-Mar,18-Mar
202312,19-Mar,25-Mar
202313,26-Mar,1-Apr
202314,2-Apr,8-Apr
202315,9-Apr,15-Apr
202316,16-Apr,22-Apr
202317,23-Apr,29-Apr
202318,30-Apr,6-May
202319,7-May,13-May
202320,14-May,20-May
202321,21-May,27-May
202322,28-May,3-Jun
202323,4-Jun,10-Jun
202324,11-Jun,17-Jun
202325,18-Jun,24-Jun
202326,25-Jun,1-Jul
202327,2-Jul,8-Jul
202328,9-Jul,15-Jul
202329,16-Jul,22-Jul
202330,23-Jul,29-Jul
202331,30-Jul,5-Aug
202332,6-Aug,12-Aug
202333,13-Aug,19-Aug
202334,20-Aug,26-Aug
202335,27-Aug,2-Sep
202336,3-Sep,9-Sep
202337,10-Sep,16-Sep
202338,17-Sep,23-Sep
202339,24-Sep,30-Sep
202340,1-Oct,7-Oct
202341,8-Oct,14-Oct
202342,15-Oct,21-Oct
202343,22-Oct,28-Oct
202344,29-Oct,4-Nov
202345,5-Nov,11-Nov
202346,12-Nov,18-Nov
202347,19-Nov,25-Nov
202348,26-Nov,2-Dec
202349,3-Dec,9-Dec
202350,10-Dec,16-Dec
202351,17-Dec,23-Dec
202352,24-Dec,30-Dec
202401,31-Dec,6-Jan
