county,lat,lon,bubble,change,week,state,telemed
Alamance,35.9066,-79.4279,16,7,202234,NC,-0.01
Graham,32.797,-109.7522,16,7,202234,KS,-0.01
Madison,30.3979,-83.2844,16,3,202234,LA,-0.01
Valdez-Cordova,60.5362,-145.7534,16,3,202234,AK,-0.01
Hughes,34.878,-96.271,16,2,202234,OK,-0.01
Haines,59.2519,-135.542,16,19,202234,AK,-0.01
Berkeley,32.9185,-80.022,16,12,202234,SC,-0.01
Murray,34.402,-97.051,16,1.961038961,202234,OK,-0.01
Wright,37.0687,-92.4082,16,1.860465116,202234,MN,-0.01
Nottoway,37.0916,-77.9851,16,1.681818182,202234,VA,-0.01
Rapides,31.0066,-92.5526,12.4983935475971,1.193548387,202234,LA,-0.01
Washington,30.1669,-96.3977,12.1606413039929,1.152173913,202234,NE,-0.01
Butler,31.545,-86.7356,10.9184,1,202234,OH,-0.01
Plymouth,41.6618,-70.8164,10.9184,1,202234,MA,-0.01
Wood,32.6439,-95.222,10.9184,1,202234,WV,-0.01
Lehigh,40.4734,-75.5261,10.7965597025891,0.985074627,202234,PA,-0.01
Macomb,42.4658,-82.9459,10.7743417632653,-0.982352941,202234,MI,-0.01
Siskiyou,41.2124,-122.2734,10.591868,0.96,202234,CA,-0.01
Kidder,46.8336,-99.6019,10.10207,-0.9,202234,ND,-0.01
Harrison,30.3598,-89.1646,9.969179067869,0.88372093,202234,OH,-0.01
Henry,31.3534,-85.3323,9.8299600027211,0.866666667,202234,MO,-0.01
Calhoun,28.4101,-96.7023,9.7522142845481,-0.857142857,202234,IA,-0.01
Osage,36.1576,-96.0311,9.6625076910518,-0.846153846,202234,KS,-0.01
Dodge,31.938,-83.1837,9.5946216229454,0.837837838,202234,MN,-0.01
Schuylkill,40.5545,-76.2038,9.5578499972789,0.833333333,202234,PA,-0.01
Hardin,30.1491,-94.3733,9.28574,-0.8,202234,TX,-0.01
Fayette,29.6882,-96.9106,9.2177125027211,-0.791666667,202234,PA,-0.01
Martin,27.0595,-80.1364,8.9327324344181,0.756756757,202234,MN,-0.01
Penobscot,44.6991,-69.1025,8.8585018658783,-0.747663551,202234,ME,-0.01
Morgan,33.5368,-83.3435,8.786194774901,-0.73880597,202234,AL,-0.01
Outagamie,44.2425,-88.3564,8.6253382055492,0.719101124,202234,WI,-0.01
Rowan,35.5435,-80.6129,8.5860285690962,0.714285714,202234,NC,-0.01
Calumet,43.9446,-88.0911,8.5174294122449,0.705882353,202234,WI,-0.01
Madison,30.3979,-83.2844,8.3320079221661,0.683168317,202234,IN,-0.01
Belmont,39.8679,-80.8168,8.1973000027211,-0.666666667,202234,OH,-0.01
Hampshire,39.1362,-78.4845,8.1973000027211,-0.666666667,202234,MA,-0.01
Williams,41.4425,-84.7349,8.0178868157285,0.644688645,202234,OH,-0.01
